stem,score_original,score_watermarked,score_residual,residual_peak,residual_rms
E_0001316732,0.0,1.0,0.9889122247695923,0.05191242694854736,0.004033309873193502
E_0001317040,0.0,1.0,0.8189277052879333,0.03934645652770996,0.003291267668828368
E_0001436097,0.0007548787398263812,1.0,0.7236770987510681,0.06864917278289795,0.007069354876875877
E_0001436568,0.0016934670275077224,1.0,0.6623380780220032,0.08391785621643066,0.0043068621307611465
E_0001438350,0.0,1.0,0.979177713394165,0.06123054027557373,0.005207550246268511
E_0001443220,0.0,1.0,0.8837724328041077,0.04227781295776367,0.0038339172024279833
E_0001521738,0.010904383845627308,1.0,0.8971536159515381,0.056723952293395996,0.004924684762954712
E_0001585210,0.12248370051383972,1.0,0.9962896108627319,0.034232258796691895,0.002251061610877514
E_0001595909,0.10658611357212067,1.0,0.9698292016983032,0.07738280296325684,0.006134405732154846
E_0001664811,0.01199007872492075,1.0,0.8048646450042725,0.0496058464050293,0.005037408322095871
E_0001767450,0.0015809470787644386,1.0,0.7452465295791626,0.0492250919342041,0.004612817894667387
E_0001920630,0.0,1.0,0.7741288542747498,0.0572512149810791,0.00571540929377079
E_0002000261,0.047446779906749725,0.9994573593139648,0.7686517238616943,0.06560361385345459,0.006973693147301674
E_0002018664,0.028189264237880707,1.0,0.7176010608673096,0.052445411682128906,0.004324022214859724
E_0002072198,0.0,1.0,0.8053603768348694,0.060744643211364746,0.0048581501469016075
E_0002138252,0.0,1.0,0.9981585741043091,0.03856980800628662,0.002778887515887618
E_0002141439,0.001121962210163474,1.0,0.7875979542732239,0.06773841381072998,0.006120301317423582
E_0002144931,0.0,1.0,0.9588110446929932,0.04158473014831543,0.0030885213054716587
E_0002159850,0.12118028849363327,1.0,0.9815999269485474,0.0673600435256958,0.004703884944319725
E_0002219449,0.05508946627378464,1.0,0.8237630724906921,0.06122112274169922,0.005894885398447514
E_0002243055,0.0,1.0,0.8707679510116577,0.0565183162689209,0.0039502521976828575
E_0002276859,0.0,1.0,0.9970325827598572,0.0673600435256958,0.0051367986015975475
E_0002283723,0.0,1.0,0.766254723072052,0.05773317813873291,0.003633155021816492
E_0002303766,0.0,1.0,0.9594390392303467,0.03548777103424072,0.0029789821710437536
E_0002462619,0.09392411261796951,1.0,0.9139576554298401,0.04322624206542969,0.00272323377430439
E_0002480871,0.3106229305267334,1.0,0.8817476630210876,0.05197620391845703,0.004404314793646336
E_0002534133,0.05000852793455124,1.0,0.9632588624954224,0.04409074783325195,0.00383641361258924
E_0002630776,0.10013294219970703,1.0,0.8242603540420532,0.06248760223388672,0.004591749049723148
E_0002656973,0.04719631001353264,1.0,0.8160290122032166,0.04846072196960449,0.004916861653327942
E_0002680054,0.0,1.0,0.8976134061813354,0.04848015308380127,0.0037228278815746307
E_0002725754,0.09628516435623169,1.0,0.9490652084350586,0.06091117858886719,0.004509577061980963
E_0002859244,0.0,1.0,0.9834000468254089,0.07040965557098389,0.005283459555357695
E_0002863972,0.0,1.0,0.7686781287193298,0.051918625831604004,0.005207956302911043
E_0002886025,0.36658161878585815,1.0,0.9512194991111755,0.07635772228240967,0.004705289378762245
E_0002912954,0.0,1.0,0.9494604468345642,0.03751528263092041,0.0031751140486449003
E_0002915842,0.312685489654541,1.0,0.8862825632095337,0.039163827896118164,0.002800103509798646
E_0003062603,0.010599348694086075,1.0,0.6731787323951721,0.0869983434677124,0.00772032281383872
E_0003093582,0.0,1.0,0.84966641664505,0.06909918785095215,0.004762677010148764
E_0003114464,0.0,1.0,0.7036800980567932,0.056069135665893555,0.004055999685078859
E_0003175356,0.0,1.0,0.8481238484382629,0.040459632873535156,0.003739779582247138
E_0003192071,0.04932204261422157,1.0,0.9851414561271667,0.0262300968170166,0.0022567964624613523
E_0003238793,0.00033983090543188155,1.0,0.7794497609138489,0.046027541160583496,0.0033952132798731327
E_0003245853,0.0,1.0,0.9851260185241699,0.08210349082946777,0.0067563788034021854
E_0003250772,0.036328814923763275,1.0,0.7909189462661743,0.06850695610046387,0.004796965979039669
E_0003264376,0.0,1.0,0.6561926007270813,0.06629502773284912,0.006037708837538958
E_0003340971,0.0,1.0,0.8357892036437988,0.08509278297424316,0.005093065556138754
E_0003374849,0.0,1.0,0.888388991355896,0.04242849349975586,0.003797423793002963
E_0003386003,0.0,1.0,0.7827244997024536,0.04497253894805908,0.0033278714399784803
E_0003410016,0.041896071285009384,1.0,0.43163031339645386,0.09706735610961914,0.007448319345712662
E_0003417392,0.0,1.0,0.9404727816581726,0.05348038673400879,0.004354421980679035
E_0003422207,0.0,1.0,0.7667648196220398,0.07259035110473633,0.0055767144076526165
E_0003446314,0.0004309760988689959,1.0,0.7553656697273254,0.05823373794555664,0.0035204957239329815
E_0003451380,0.00018038331472780555,0.9993836879730225,0.7483051419258118,0.03370988368988037,0.004197767935693264
E_0003469451,0.08454801887273788,1.0,0.9507749676704407,0.034450531005859375,0.00252079707570374
E_0003598052,0.10513927042484283,1.0,0.7864184379577637,0.0720754861831665,0.0066266851499676704
E_0003614368,0.008713341318070889,1.0,0.8954046368598938,0.06771337985992432,0.0046998984180390835
E_0003617108,0.04665205627679825,1.0,0.8738191723823547,0.04868185520172119,0.005118676461279392
E_0003655472,0.0,1.0,0.617560625076294,0.06997442245483398,0.004778162110596895
E_0003669179,0.0,1.0,0.7005705833435059,0.07654440402984619,0.0032785143703222275
E_0003705828,0.0015567636583000422,0.9995341897010803,0.969355046749115,0.06468033790588379,0.0039205546490848064
E_0003786480,0.0,1.0,0.9943242073059082,0.04381918907165527,0.00404384033754468
E_0003800280,0.0,1.0,0.9699133038520813,0.03660547733306885,0.00304066832177341
E_0003814591,0.000739644980058074,1.0,0.9634684920310974,0.05694437026977539,0.0051592192612588406
E_0003840147,0.08774013072252274,1.0,0.9571985602378845,0.04127168655395508,0.0026502832770347595
E_0003858828,0.0,1.0,0.8905791640281677,0.06507885456085205,0.004505634773522615
E_0003864715,0.04966235160827637,1.0,0.9905974268913269,0.05662834644317627,0.0034579229541122913
